benchmark,input,seed,config,evidence_level,simulator,prefetches_issued,useful_prefetches,useless_prefetches,late_prefetches,queue_drops,coverage,accuracy,lateness_rate,log_path,notes
mibench_patricia,patricia_large12288_seed1,1,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,3967,685,3282,11992,0,0.003723,0.172675,3.022939,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,copper,gem5_full_system,gem5 ARM full-system imported summary,1982,353,1629,85,33065,0.001919,0.178103,0.042886,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,spp,gem5_full_system,gem5 ARM full-system imported summary,600438,93564,506874,0,0,0.508544,0.155826,0.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,601092,93658,507434,102,33825,0.509055,0.155813,0.000170,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,24325,809,23516,14014,0,0.002671,0.033258,0.576115,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,copper,gem5_full_system,gem5 ARM full-system imported summary,19952,452,19500,181,37911,0.001492,0.022654,0.009072,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,spp,gem5_full_system,gem5 ARM full-system imported summary,805468,137362,668106,0,0,0.453511,0.170537,0.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,810973,137420,673553,422,87530,0.453702,0.169451,0.000520,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small8192,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv; checksum=0xd4f96d52a9711657; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small8192,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,116431,1156,115275,16478,0,0.001430,0.009929,0.141526,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv; checksum=0xd4f96d52a9711657; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small8192,0,copper,gem5_full_system,gem5 ARM full-system imported summary,104197,769,103428,245,49138,0.000951,0.007380,0.002351,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv; checksum=0xd4f96d52a9711657; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small8192,0,spp,gem5_full_system,gem5 ARM full-system imported summary,1699627,304565,1395062,0,0,0.376624,0.179195,0.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv; checksum=0xd4f96d52a9711657; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small8192,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,1739081,304467,1434614,379,295919,0.376503,0.175074,0.000218,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv; checksum=0xd4f96d52a9711657; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
